left,label,right
10,P,31
1.11,PPG,0.82
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Czech Republic,=== MATCH 54 ===,Mexico
1,WCs,17
0,Won,0
24,High,6.5
24,Avg,17.2
3,GP,60
1,W,17
0,D,15
2,L,28
3,GF,62
1.0,GFpg,1.03
4,GA,101
1.33,GApg,1.68
3,P,66
1.0,PPG,1.1
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Curacao,=== MATCH 55 ===,Ivory Coast
0,WCs,3
0,Won,0
0,High,24
0,Avg,24
0,GP,9
0,W,3
0,D,1
0,L,5
0,GF,13
0,GFpg,1.44
0,GA,14
0,GApg,1.56
0,P,10
0,PPG,1.11
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Ecuador,=== MATCH 56 ===,Germany
4,WCs,20
0,Won,4
12.5,High,1
21.1,Avg,6.1
13,GP,111
5,W,68
2,D,21
6,L,22
14,GF,230
1.08,GFpg,2.07
14,GA,126
1.08,GApg,1.14
17,P,225
1.31,PPG,2.03
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,3
3,H2H GA,0
,,
Tunisia,=== MATCH 57 ===,Netherlands
6,WCs,11
0,Won,0
24,High,2
24,Avg,6.9
18,GP,55
3,W,30
5,D,14
10,L,11
14,GF,96
0.78,GFpg,1.75
26,GA,52
1.44,GApg,0.95
14,P,104
0.78,PPG,1.89
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Japan,=== MATCH 58 ===,Sweden
7,WCs,12
0,Won,0
12.5,High,2
17.4,Avg,13.0
25,GP,51
7,W,19
6,D,13
12,L,19
25,GF,80
1.0,GFpg,1.57
33,GA,73
1.32,GApg,1.43
27,P,70
1.08,PPG,1.37
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Turkey,=== MATCH 59 ===,USA
2,WCs,11
0,Won,0
3.5,High,3.5
13.8,Avg,15.3
10,GP,37
5,W,9
1,D,8
4,L,20
20,GF,40
2.0,GFpg,1.08
17,GA,66
1.7,GApg,1.78
16,P,35
1.6,PPG,0.95
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Paraguay,=== MATCH 60 ===,Australia
8,WCs,6
0,Won,0
6.5,High,12.5
17.5,Avg,20.2
27,GP,20
7,W,4
10,D,4
10,L,12
30,GF,17
1.11,GFpg,0.85
38,GA,37
1.41,GApg,1.85
31,P,16
1.15,PPG,0.8
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Norway,=== MATCH 61 ===,France
3,WCs,16
0,Won,2
12.5,High,1
16.3,Avg,11.6
8,GP,73
2,W,39
3,D,14
3,L,20
7,GF,136
0.88,GFpg,1.86
8,GA,85
1.0,GApg,1.16
9,P,131
1.12,PPG,1.79
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Senegal,=== MATCH 62 ===,Iraq
3,WCs,1
0,Won,0
6.5,High,24
14.3,Avg,24
12,GP,3
5,W,0
3,D,0
4,L,3
16,GF,1
1.33,GFpg,0.33
17,GA,4
1.42,GApg,1.33
18,P,0
1.5,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Cape Verde,=== MATCH 63 ===,Saudi Arabia
0,WCs,6
0,Won,0
0,High,12.5
0,Avg,22.1
0,GP,19
0,W,4
0,D,2
0,L,13
0,GF,14
0,GFpg,0.74
0,GA,44
0,GApg,2.32
0,P,14
0,PPG,0.74
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Uruguay,=== MATCH 64 ===,Spain
14,WCs,16
2,Won,1
1,High,1
13.0,Avg,14.6
59,GP,66
25,W,31
13,D,17
21,L,18
89,GF,108
1.51,GFpg,1.64
76,GA,74
1.29,GApg,1.12
88,P,110
1.49,PPG,1.67
,-- H2H --,
2,H2H GP,2
0,H2H W,0
2,H2H D,2
0,H2H L,0
2,H2H GF,2
2,H2H GA,2
,,
New Zealand,=== MATCH 65 ===,Belgium
2,WCs,14
0,Won,0
24,High,3.5
24,Avg,14.9
6,GP,51
0,W,21
3,D,10
3,L,20
4,GF,69
0.67,GFpg,1.35
14,GA,74
2.33,GApg,1.45
3,P,73
0.5,PPG,1.43
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Egypt,=== MATCH 66 ===,Iran
3,WCs,6
0,Won,0
12.5,High,24
20.2,Avg,24
7,GP,18
0,W,3
2,D,4
5,L,11
5,GF,13
0.71,GFpg,0.72
12,GA,31
1.71,GApg,1.72
2,P,13
0.29,PPG,0.72
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Panama,=== MATCH 67 ===,England
1,WCs,16
0,Won,1
24,High,1
24,Avg,10.2
3,GP,74
0,W,32
0,D,22
3,L,20
2,GF,104
0.67,GFpg,1.41
11,GA,68
3.67,GApg,0.92
0,P,118
0.0,PPG,1.59
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
1,H2H GF,6
6,H2H GA,1
,,
Croatia,=== MATCH 68 ===,Ghana
6,WCs,4
0,Won,0
2,High,6.5
13.5,Avg,16.8
30,GP,15
13,W,5
8,D,3
9,L,7
43,GF,18
1.43,GFpg,1.2
33,GA,23
1.1,GApg,1.53
47,P,18
1.57,PPG,1.2
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
