match_no,slug,phase,team_a,a_wcs,a_best,a_pwdl,a_gfga,team_b,b_wcs,b_best,b_pwdl,b_gfga,h2h_meetings,h2h_detail,a_resolved,b_resolved,status
63,m063-cape-verde-vs-saudi-arabia,group,Cape Verde,0,Debut,0  0-0-0,0-0,Saudi Arabia,6,Round of 16,19  4-2-13,14-44,0,,NO-DATA,,ok
64,m064-uruguay-vs-spain,group,Uruguay,14,WINNERS,59  25-13-21,89-76,Spain,16,WINNERS,66  31-17-18,108-74,2,1950 group: Uruguay 2-2 Spain | 1990 group: Uruguay 0-0 Spain,,,ok
65,m065-new-zealand-vs-belgium,group,New Zealand,2,Group stage,6  0-3-3,4-14,Belgium,14,3rd,51  21-10-20,69-74,0,,,,ok
66,m066-egypt-vs-iran,group,Egypt,3,Round of 16,7  0-2-5,5-12,Iran,6,Group stage,18  3-4-11,13-31,0,,,,ok
67,m067-panama-vs-england,group,Panama,1,Group stage,3  0-0-3,2-11,England,16,WINNERS,74  32-22-20,104-68,1,2018 group: Panama 1-6 England,,,ok
68,m068-croatia-vs-ghana,group,Croatia,6,Runners-up,30  13-8-9,43-33,Ghana,4,Quarter-final,15  5-3-7,18-23,0,,,,ok
69,m069-colombia-vs-portugal,group,Colombia,6,Quarter-final,22  9-3-10,32-30,Portugal,8,3rd,35  17-6-12,61-41,0,,,,ok
70,m070-dr-congo-vs-uzbekistan,group,DR Congo,1,Group stage,3  0-0-3,0-14,Uzbekistan,0,Debut,0  0-0-0,0-0,0,,,NO-DATA,ok
71,m071-algeria-vs-austria,group,Algeria,4,Round of 16,13  3-3-7,13-19,Austria,7,3rd,29  12-4-13,43-47,1,1982 group: Algeria 0-2 Austria,,,ok
72,m072-jordan-vs-argentina,group,Jordan,0,Debut,0  0-0-0,0-0,Argentina,18,WINNERS,88  47-17-24,152-101,0,,NO-DATA,,ok
73,m073-r32,r32,,,,,,,,,,,,,,,TBD
74,m074-r32,r32,,,,,,,,,,,,,,,TBD
75,m075-r32,r32,,,,,,,,,,,,,,,TBD
76,m076-r32,r32,,,,,,,,,,,,,,,TBD
77,m077-r32,r32,,,,,,,,,,,,,,,TBD
78,m078-r32,r32,,,,,,,,,,,,,,,TBD
79,m079-r32,r32,,,,,,,,,,,,,,,TBD
80,m080-r32,r32,,,,,,,,,,,,,,,TBD
81,m081-r32,r32,,,,,,,,,,,,,,,TBD
82,m082-r32,r32,,,,,,,,,,,,,,,TBD
83,m083-r32,r32,,,,,,,,,,,,,,,TBD
84,m084-r32,r32,,,,,,,,,,,,,,,TBD
